status_id,text,is_quote,is_retweet,quoted_text,retweet_text,Sentiment,Unsure,Comments
1.24E+18,"""I was surprised. Kind of in shock."" - @TerrapinHoops' Aaron Wiggins, @B1GMBBall's Sixth Man of the Year as voted by the coaches. https://t.co/gFlsXecCpo",NA,NA,NA,NA,2,,
1.24E+18,"""This is what it's all about!""

Raise that trophy @TerrapinHoops! 🏆 https://t.co/CjKEfG4RXx",NA,NA,NA,NA,1,,
1.24E+18,"""This is what it's all about!""

Raise that trophy @TerrapinHoops! 🏆 https://t.co/CjKEfG4RXx",NA,NA,NA,NA,1,,
1.24E+18,"""Whenever I come here, whenever I come back, it's always going to be home."" 

Maryland native @AnthonyCowanJr caught up with @TheAndyKatz after his final home game for @TerrapinHoops on what it all means to him ⬇️ https://t.co/hMAcAcqCa6",NA,NA,NA,NA,2,,
1.23E+18,"#9 Maryland hosts #24 Michigan State as a 3 point favourite tonight! 🏀

#FearTheTurtle #Maryland #GoGreen #SpartanDawgs https://t.co/lcZU0D8brl",NA,NA,NA,NA,2,,
1.24E+18,#BaltCo #Md —,NA,NA,NA,NA,,?,I don't know what these hashtags mean in context
1.24E+18,#FearTheTurtle #FTT 🐢 #B1G #B1GWBBall #ncaaW 🏀 #ScholarAthleteVenture https://t.co/6m9OTBdVOw,TRUE,TRUE,"The Terps hold off the Hoosiers and Maryland is going to the finals! 

@umdwbb https://t.co/xzhHDXtQAh",#FearTheTurtle #FTT 🐢 #B1G #B1GWBBall #ncaaW 🏀 #ScholarAthleteVenture https://t.co/6m9OTBdVOw,4,,
1.24E+18,"#GamblingTwitter #MarchMadness #Terps #wolverines #ncaa #parlays 

Like i said.. soon as you join you are@making money.. subscriber joins Thursday and goes 18-5 first 3 days.. doubles his unit values https://t.co/eqt8y6pj1t",NA,NA,NA,NA,2,?,neutral re: bball; positive re: gambling
1.23E+18,"#Illini commit Adam Miller &amp; Morgan Park teammate Brandon Weston will be in Champaign tomorrow for Illinois-Indiana.

Miller is trying to get the top-75 forward to follow the path to Illinois. Big visit for Underwood &amp; Co.  

https://t.co/L6RXkQobfj",NA,NA,NA,NA,4,?,"Seems irrelevant, unless there's some context I don't understand. Not even sure how this one got picked up in our relevancies."
1.24E+18,#Michigan leads the #Terps 7-6 at the under 16 TO.  Both teams are 3-6 from the floor,NA,NA,NA,NA,2,,
1.23E+18,#MSUvsMD @TerrapinHoops @CoachTurgeon  How many damn times does Ayala have to kill you on D to cause a basket Mark? The kid cannot play right now - SIT HIM! He is killing the team,FALSE,FALSE,NA,NA,3,,
1.24E+18,"#Terps earn a share of the Big Ten Title beating #Michigan  83-70.   .4 in double figures.  Cowan had 20, Jalen Smith with 18 and 11.  Ayala had 19 and Wiggins 15.",NA,NA,NA,NA,2,,
1.23E+18,#Terps got smacked in the mouth tonight. MSU hit every shot and Maryland couldn't battle back. These teams each beat each other on the road. Going to be a fight for the regular season title down the stretch.,FALSE,FALSE,NA,NA,2,?,"Negative re: Terps, positive re: MSU, neutral re: future"
1.24E+18,#Terps have some special guests: Kevin Huerter and Bruno Fernando https://t.co/T82qFODso5,FALSE,FALSE,NA,NA,2,,
1.24E+18,#Terps Jalen Smith (Baltimore native) has been named one of ten semifinalists for Naismith Player of the Year. @WMAR2News,FALSE,TRUE,NA,#Terps Jalen Smith (Baltimore native) has been named one of ten semifinalists for Naismith Player of the Year. @WMAR2News,2,,
1.23E+18,#Terps That loud ringing sound is the alarm clock going off.,NA,NA,NA,NA,,?,I don't understand the context
1.24E+18,@BetsJonny @FousekMichael @marchmadness @umterps @TerrapinHoops Talk to us when you’ve won a post WWII national championship you cheese eating clowns. Maryland is the last big ten team to win the tournament. You should be honored we graced this league with our presence.,NA,NA,NA,NA,3,?,I don't understand the context
1.24E+18,@BetsJonny @marchmadness @umterps @TerrapinHoops Who frickin cares about wisconsin,NA,NA,NA,NA,3,?,I don't understand the context
1.24E+18,@BigTenNetwork @B1GMBBall @TerrapinHoops @MSU_Basketball @BadgerMBB https://t.co/tn55z0GUXu,FALSE,FALSE,NA,NA,2,,
1.24E+18,@CBBonFOX @JalenSmith2000 @TerrapinHoops 🐐 https://t.co/v1tOkhkqJJ,NA,NA,NA,NA,2,,
1.23E+18,@CoachNegative @CoachTurgeon @team980 @TerrapinHoops He needs to be fired https://t.co/9JEVW2BXkS,NA,NA,NA,NA,3,,
1.23E+18,@CoachNegative @TerrapinHoops @CoachTurgeon 🤷🏽‍♂️ I don’t like either on offense right now but Ayala has the edge. If we go to zone on d and run the offense through Stix we would have had a shot. Serrel Smith is literally brick city on offense,FALSE,FALSE,NA,NA,2,,
1.24E+18,@CoachTurgeon @TerrapinHoops Great win. Keeps those kids hungry and focused. We have a real shot at making a run in the tourney,NA,NA,NA,NA,1,,
1.24E+18,@CoachTurgeon @TerrapinHoops Isn't everyone already there onsite?,NA,NA,NA,NA,2,,
1.24E+18,@CoachTurgeon @TerrapinHoops MAZEL MARK!,FALSE,FALSE,NA,NA,,?,I don't know what Mazel Mark means
1.23E+18,@DaceyTed @benjholler @TerrapinHoops I’d think that if we were 29-0 you’d still not be satisfied.,NA,NA,NA,NA,3,,
1.24E+18,@Hoophall @ZagMBB @TheDeliverer_32 @DellTech @EphesusLighting @BYUbasketball @TerrapinHoops @HailStateMBK @yochilds22 @KillianTillie @_R1bang_ @marchmadness Tillie!,FALSE,FALSE,NA,NA,,?,I don't know what Tillie! Means
1.23E+18,@ILuvKaraoke @TerrapinHoops There is an article in the Washington Post breaking down each of our comebacks this season that have given us ulcers.. haha its a good read. so stressful every game,FALSE,FALSE,NA,NA,1,?,"Positive re: article, negative re: stressful games"
1.24E+18,@Jack_Otweets in honor of Liz Warren herself i would like Brenda Frese to coach the Maryland Men’s Basketball team,NA,NA,NA,NA,1,?,"Positive re: Brenda Frese, unsure re: UMD MBB"
1.24E+18,"@JamieJo59840857 @NaismithTrophy @CitizenWatchUS @MarquetteMBB @SetonHallMBB @OregonMBB @TerrapinHoops @BIGEAST @pac12 @bigten @atlantic10 To clarify, they play each other.. that game IMO is a play in game for the NCAA tourney.",FALSE,FALSE,NA,NA,2,?,
1.24E+18,@JerseyTerp @jtLOL Lol yeah. Ps - go Terps!,NA,NA,NA,NA,1,,
1.24E+18,@johnconservativ @TerrapinHoops With the your weak ass 21 and 10 record,NA,NA,NA,NA,3,,
1.24E+18,@KBBldServices @Lucas4westside @CPVarsitySports @athletics66 Why is Mark Turgeon there?,NA,NA,NA,NA,3,,
1.24E+18,@kevinsheehanDC @CoachTurgeon @TerrapinHoops didnt terps tie with wisconsin? didnt wisconsin beat terps?,NA,NA,NA,NA,2,?,"Seems like there may be negative undertones, but can't tell without context"
1.24E+18,@MambaBald @marchmadness @TheAndyKatz @NaismithTrophy @KUHoops @DukeMBB @Aztec_MBB @IowaHoops @MarquetteMBB @SetonHallMBB @OregonMBB @TerrapinHoops @DaytonFlyers found the Michigan State fan,FALSE,FALSE,NA,NA,2,?,I don't understand the context
1.24E+18,@marchmadness @Hoophall @BYUbasketball @yochilds22 @DaytonFlyers @ZagMBB @KillianTillie @JalenSmith2000 @TerrapinHoops @HailStateMBK @_R1bang_ easy dub,NA,NA,NA,NA,,?,I don't understand the context
1.24E+18,@marchmadness @Hoophall @BYUbasketball @yochilds22 @DaytonFlyers @ZagMBB @KillianTillie @JalenSmith2000 @TerrapinHoops @HailStateMBK @_R1bang_ Lamar Stevens snubbed,FALSE,FALSE,NA,NA,3,,
1.24E+18,"@marchmadness @NaismithTrophy @KUHoops @DukeMBB @Aztec_MBB @IowaHoops @MarquetteMBB @SetonHallMBB @OregonMBB @TerrapinHoops @DaytonFlyers Toppin, Garza, or Powell will win it.",NA,NA,NA,NA,2,?,Are predictions positive or neutral?
1.24E+18,"@marchmadness @NaismithTrophy @KUHoops @DukeMBB @Aztec_MBB @IowaHoops @MarquetteMBB @SetonHallMBB @OregonMBB @TerrapinHoops @DaytonFlyers Why is Trent Forest not on this list,🍢🍢",NA,NA,NA,NA,3,,
1.24E+18,@MartyMcFly34 @TerrapinHoops wait until first weekend of Tourney,NA,NA,NA,NA,3,?,"Seems vaguely threatening, but not clear without context"
1.24E+18,@NaismithTrophy @CitizenWatchUS @MarquetteMBB @SetonHallMBB @OregonMBB @TerrapinHoops @BIGEAST @pac12 @bigten @atlantic10 Jalen Smith.,FALSE,FALSE,NA,NA,,?,I don't understand the context
1.24E+18,@powerpopjoel @kevinsheehanDC @CoachTurgeon @TerrapinHoops Doesn't matter they are still Big 10 Champions.,NA,NA,NA,NA,1,,
1.23E+18,@ryan_pickle13 @benjholler @TerrapinHoops College game day doesn’t show up every game. This team let the fan see down tonight. Period.,NA,NA,NA,NA,,?,I don't understand the context
1.24E+18,"@SethOnHoops @TerrapinHoops When Ayala is in attack mode and Wiggy is hitting shots, this is a tough team to stop. #FearTheTurtle",NA,NA,NA,NA,1,,
1.23E+18,@shaquilleoatm15 @TerrapinHoops Like to see his SATs,FALSE,FALSE,NA,NA,,?,"Seems sarcastically negative, but not clear without context"
1.24E+18,@TerrapinHoops @AnthonyCowanJr @_MustSeeTV https://t.co/an2OCihIRd,NA,NA,NA,NA,1,,
1.24E+18,@TerrapinHoops @AnthonyCowanJr 🔥🔥🔥,NA,NA,NA,NA,,?,Don't know what the emojis are
1.24E+18,@TerrapinHoops @CoachTurgeon #ExtendTurgeon,NA,NA,NA,NA,1,?,Assuming #ExtendTurgeon is positive re: Turgeon
1.24E+18,@TerrapinHoops @CoachTurgeon https://t.co/I6Hws57Gh5,NA,NA,NA,NA,,?,Tried clicking the link--the tweet is unavailable
1.23E+18,@TerrapinHoops @sotoshuffle My school beat duke tho https://t.co/ZiXzkZDOS7,NA,NA,NA,NA,3,?,"negative re: Terps, positive re: ""my school"""
1.23E+18,@TerrapinHoops Add that Zebra Icon next to your final score as well. Jeez,NA,NA,NA,NA,3,?,I don't understand the context
1.24E+18,@TerrapinHoops Congrats on a GREAT year. May GOD bless each of you on your next chapter of your life. #FearTheTurtle,FALSE,FALSE,NA,NA,1,,
1.23E+18,@TerrapinHoops https://t.co/9qc5EAhdAk,NA,NA,NA,NA,3,?,"I think this tweet is the meme below the @TerrapinHoops tweet, which is negative"
1.23E+18,@TerrapinHoops s smith hurt? If not why isn't he getting time,FALSE,FALSE,NA,NA,2,,
1.23E+18,@TerrapinHoops SPARTANS overcome corrupt officiating to win,FALSE,FALSE,NA,NA,3,,
1.23E+18,@TerrapinHoops Way to embarrass them.,FALSE,FALSE,NA,NA,1,,
1.24E+18,"@TerrapinHoops We have a super young team and regardless of the downs this season 
I’m proud of Mark and all the players for their grittiness  
Now let’s make a run 🔥🔥",NA,NA,NA,NA,1,,
1.24E+18,@theleahray @LibertyMBB_ @TerrapinHoops @MWarnerTV If we get a 13 seed I am writing the committee lol,FALSE,FALSE,NA,NA,3,?,I don't understand the context
1.24E+18,@TimBrando @SetonHallMBB @NovaMBB @TerrapinHoops @bigten @TimBrando so do the players with no eligibility left and their season was done the  tournament over get to play next yet also?,NA,NA,NA,NA,2,,
1.23E+18,@umterps Please fire Turgeon. He is a complete trash coach. #Terps,FALSE,FALSE,NA,NA,3,,
1.23E+18,@VeryRBLXPriv @thatintaminguy @TerrapinHoops @AnthonyCowanJr @EA_Glo @410D_ @JalenSmith2000 20 years ago?,NA,NA,NA,NA,,?,I don't understand the context
1.24E+18,"7:34 to go in the first half, #Terps lead 23-15.  Ayala and Smith have 6 each.  #Terps shooting 50%",NA,NA,NA,NA,2,,
1.24E+18,"A little birdie told me Chase Young was at the #Terps game today, first title of many he’s gonna see in DC??? #Redskins",NA,NA,NA,NA,1,,
1.24E+18,A top local DE didn't include the #terps among his top foremost contenders; can UMD change his mind in the months ahead? https://t.co/OaSXqPyuNv,NA,NA,NA,NA,4,,Seems to be about a football player
1.24E+18,"“Anthony came back to hang a banner. He gets to hang a banner,"" coach Mark Turgeon said.

https://t.co/Plf3NStJgp",NA,NA,NA,NA,1,,
1.24E+18,"“Just to come back and do something that’s never happened in Maryland history…it means everything.” 

@AnthonyCowanJr joined @TheAndyKatz after @TerrapinHoops secured a share of the Big Ten regular-season championship at his final home game. https://t.co/foNuqHvTWV",NA,NA,NA,NA,1,,
1.24E+18,"“Just to come back and do something that’s never happened in Maryland history…it means everything.” 

@AnthonyCowanJr joined @TheAndyKatz after @TerrapinHoops secured a share of the Big Ten regular-season championship at his final home game. https://t.co/foNuqHvTWV",NA,NA,NA,NA,1,,
1.24E+18,"After winning the Big Ten title for the first time ever, @TerrapinHoops still has more work to do. @BustingBrackets breaks down the game and excitement from the B1G moment. #Terps #TerpNation
https://t.co/lELOK2k6yp",NA,NA,NA,NA,1,,
1.23E+18,An evergreen meme @TerrapinHoops https://t.co/Mn0gk7Ofpb,FALSE,TRUE,NA,An evergreen meme @TerrapinHoops https://t.co/Mn0gk7Ofpb,2,,
1.23E+18,And FSU lost..... this @TerrapinHoops chance to get a 1 seed.... tonight’s our shot to lock it up. And me and my day 1 homie @60_DantheMan are here in college park to witness it in person,FALSE,FALSE,NA,NA,1,,
1.24E+18,Anthony Cowan and the rest of the #Terps seniors were hinted before today’s game against Michigan. Listen live on The Team 980. https://t.co/HSyeFh4Dux,FALSE,FALSE,NA,NA,2,,
1.24E+18,Anthony Cowan Jr. and Mark Turgeon butted heads all the way to a Big Ten title https://t.co/aIa7cYuYBG,FALSE,FALSE,NA,NA,2,,
1.24E+18,Anytime @TerrapinHoops fans see @AnthonyCowanJr: https://t.co/uVSv5h0V6B,NA,NA,NA,NA,1,,
1.24E+18,Anytime @TerrapinHoops fans see @AnthonyCowanJr: https://t.co/uVSv5h0V6B,NA,NA,NA,NA,1,,
1.24E+18,"✌️ games left, and a lot to be determined.

@BadgerMBB and @TerrapinHoops have a share of the B1G title, and @MSU_Basketball can join them.

B1G tourney seeds:

1. UW 
2. ?
3. ?
4. ?
5. ?
6. ?
7. ?
8. RU
9. MICH
10. PUR
11. IU
12. MIN
13. NU
14. NEB https://t.co/JQ3ntwB4E4",NA,NA,NA,NA,2,,
1.23E+18,"At the under 16 in the second half, @MSU_Basketball is giving @TerrapinHoops the Ben Dreith-like business:

https://t.co/S9EiUXiYKo",NA,NA,NA,NA,,?,"Postive re: MSU, negative re: Terps"
1.24E+18,B1G shoutout to @PKaFairy for spending his 50th wedding anniversary at Xfinity Center with the Maryland basketball team🤩🤩 https://t.co/grW5uBJyTp,NA,NA,NA,NA,1,,
1.24E+18,"Badgers will be seeded No. 1 for Big Ten men's basketball tournament, thanks to Maryland's victory over Michigan https://t.co/DuSph6svIE",FALSE,FALSE,NA,NA,2,,
1.23E+18,Badly needed three from Ahrens to staunch the bleeding and keep the #Spartans in the lead 22-18 as the #Terps make a huge run coming out of the media timepout. @TheOnlyColors,FALSE,FALSE,NA,NA,2,,
1.24E+18,"BOBBY Z IS AN ANIMAL!!

His second bomb of the day is a grand slam to straightaway center 😳

B4 | #Terps 8, Bulldogs 2

#DirtyTerps https://t.co/U4W1Nlj6jx",NA,NA,NA,NA,4,,Re: baseball
1.24E+18,Both of Maryland’s basketball teams had such a good chance to win the NCAA tournaments this year...I am so sad for our players,NA,NA,NA,NA,,?,"Positive re: Terps, negative re: cancelled tournaments"
1.24E+18,BREAKING: The Big Ten Conference men's basketball tournament has been cancelled. The #Terps were the No. 3 seed. I would be shocked if the NCAA Tournament is still played. @WMAR2News,FALSE,TRUE,NA,BREAKING: The Big Ten Conference men's basketball tournament has been cancelled. The #Terps were the No. 3 seed. I would be shocked if the NCAA Tournament is still played. @WMAR2News,2,,
1.24E+18,Can’t wait to tell my kids the #Terps didn’t lose a single game in the postseason.,NA,NA,NA,NA,1,,
1.24E+18,Congrats to the Big 10 Regular Season Champions @TerrapinHoops &amp; Bowie native Anthony Cowan Jr.! I look forward to watching you go all the way in the Conference &amp; NCAA Tournaments. #FearTheTurtle,NA,NA,NA,NA,1,,
1.24E+18,Congrats to TITANS Basketball for making the FINAL FOUR! Headed to U of MD. Defeated Liberty Hogh School #BCPS #MPSSAA #TITANS #SUPPORT #MOREWORK2DO https://t.co/gssq081Vm2,NA,NA,NA,NA,4,,Appears to be re: high school
1.24E+18,Congratulations to the University of Maryland Terrapins men's basketball team for winning their first Big Ten Championship! https://t.co/HEHcHMRBO7,NA,NA,NA,NA,1,,
1.24E+18,COUNT THAT BIH!!!!! #terps #stix 🐢🐢🐢🐢,FALSE,TRUE,NA,COUNT THAT BIH!!!!! #terps #stix 🐢🐢🐢🐢,1,?,Not sure what the emojis are
1.23E+18,"Damn, what a scene at Maryland.  It's gonna rock tonight! @TerrapinHoops @MSU_Basketball",FALSE,TRUE,NA,"Damn, what a scene at Maryland.  It's gonna rock tonight! @TerrapinHoops @MSU_Basketball",1,,
1.24E+18,Darryl Morsell's game winning 3 was one of the most clutch shots I've ever seen. And there was nothing better than watching our players celebrate on our homecourt after winning the BIG10. Thank you Terp Nation!,NA,NA,NA,NA,1,,
1.24E+18,"DeJulius shows progress in performance at Maryland

@abbyhsnyder's story from today in College Park: https://t.co/LvFot88b5q",NA,NA,NA,NA,1,,
1.24E+18,Doesn’t matter the gender. Maryland runs Big Ten Basketball,NA,NA,NA,NA,1,,
1.23E+18,Don't ever speak on our mans ever again @TerrapinHoops,TRUE,TRUE,🤭 https://t.co/qSVVHwwku8,Don't ever speak on our mans ever again @TerrapinHoops,3,?,Seems to be taunting the original tweeter
1.23E+18,Down by 11 v Michigan St at home (where Terps are 15-0): confidence level MD wins? It would be business as usual to see them get the victory #ComebackKids 🏀 @wjz,FALSE,FALSE,NA,NA,1,,
1.24E+18,😳😳😳,TRUE,FALSE,"Crowd wave at NCAA Division III men's basketball tournament at JHU.  Aside from the players, these medical professionals bring the most energy. No fans are allowed due to coronavirus concerns in the state of Maryland. @WMAR2News https://t.co/OWeK5Ygin0",NA,3,?,"I think that's the embarrassed emoji, so negative?"
1.24E+18,"🐢🏆

Congrats to No. 9 @TerrapinHoops on winning a share of its first B1G title. https://t.co/lC3pFBacYl",NA,NA,NA,NA,1,,
1.24E+18,"🏆 @TerrapinHoops, @MSU_Basketball &amp; @BadgerMBB all added to their trophy cases over the weekend!

See who has the most regular season titles in @bigten history 👇 https://t.co/PHt3iG0dsu",NA,NA,NA,NA,2,,
1.24E+18,🏆🔒 @TerrapinHoops secure a share of the @bigten Regular Season Title with their win over Michigan https://t.co/BzIRs5wCdD,FALSE,TRUE,NA,🏆🔒 @TerrapinHoops secure a share of the @bigten Regular Season Title with their win over Michigan https://t.co/BzIRs5wCdD,1,,
1.24E+18,"🚨 BUBBA BLAST 🚨

His sixth hit of the day ties the school record and leaves the ballpark 🤯

B8 | #Terps 14, Bulldogs 3

#DirtyTerps https://t.co/dYLshg4Rxu",NA,NA,NA,NA,4,,
1.23E+18,"FINAL | #Terps 3, Coastal Carolina 10

Back tomorrow for a 1:00 first pitch for our last shot at the Chanticleers.

#DirtyTerps",NA,NA,NA,NA,4,,
1.24E+18,FINAL: #TERPS ARE BIG TEN CHAMPS!!!,FALSE,TRUE,NA,FINAL: #TERPS ARE BIG TEN CHAMPS!!!,1,,
1.24E+18,FINAL: #Terps defeat Michigan 83-70 to clinch a share of the Big Ten regular season championship. Four Maryland players in double figures led by Anthony Cowan with 20. Maryland finishes the regular season with a 24-7 record and 14-6 in the Big Ten.,FALSE,FALSE,NA,NA,1,,
1.23E+18,"Fouls called in top-15 college basketball games today:

Penn State-Iowa: 27
Seton Hall-Marquette: 29
Duke-Virginia: 34
FSU-Clemson: 35
Michigan State-Maryland: 35
Providence-Villanova: 36
San Diego State-Nevada: 38
Kansas-Kansas State: 40
Baylor-TCU: 41

Auburn-Kentucky: 46",NA,NA,NA,NA,2,,
